Cohort,Treatment,Biomarkers,Gene,Event,Association,Measurement,Evidence,Protein,Function,Database,Citations
Kidney,Targeted therapy,miR-21,MIR21,Overexpression,Non-response,"qRT-PCR, RNA-seq",Low,microRNA,Associated with resistance to targeted therapies,GEO,https://pmc.ncbi.nlm.nih.gov/articles/PMC10645469/
Kidney,Targeted therapy,FLCN,FLCN,Mutation,Response,"NGS, PCR",Low,Tumor suppressor,Mutations linked to response to mTOR inhibitors,"TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC10645469/
Lung NSCLC,Anti-PD-1,Microbiome Signature,N/A,N/A,Response,16S rRNA sequencing,Low,N/A,Certain gut microbiota compositions linked to better response,GEO,https://www.cancernetwork.com/view/print-biomarkers-for-response-to-anti-pd-1-anti-pd-l1-immune-checkpoint-inhibitors-a-large-meta-analysis
Lung NSCLC,Anti-PD-1,LAG-3 Expression,LAG3,Expression,Non-response,"IHC, Flow cytometry",Low,Immune checkpoint receptor,High expression may indicate T-cell exhaustion and resistance,"TCGA, GEO",https://www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2023.1157100/full
Lung NSCLC,Anti-PD-1,TIM-3 Expression,HAVCR2,Expression,Non-response,"IHC, Flow cytometry",Low,Immune checkpoint receptor,High expression associated with immune escape and resistance,"TCGA, GEO",https://www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2023.1157100/full
Lung NSCLC,Chemotherapy,TUBB4,TUBB4,Expression,Non-response,"IHC, PCR",Low,Structural protein,High TUBB4 expression may predict taxane resistance,"TCGA, GEO",https://pmc.ncbi.nlm.nih.gov/articles/PMC6025105/
Lung NSCLC,Chemotherapy,BCL2,BCL2,Expression,Non-response,"IHC, PCR",Low,Apoptosis regulator,High BCL2 expression may confer resistance to chemotherapy,"TCGA, GEO",https://pmc.ncbi.nlm.nih.gov/articles/PMC6025105/
Lung NSCLC,Immunotherapy,LAMC3 Mutation,LAMC3,Mutation,Non-response,NGS,Low,Extracellular matrix,May affect tumor microenvironment and immune evasion,TCGA,https://pcm.amegroups.org/article/view/7603/html
Ovary,Chemotherapy,PIK3CA,PIK3CA,Mutation,Non-response,"NGS, PCR",Low,Kinase,Activating mutations linked to chemoresistance in some cohorts,"TCGA, COSMIC",https://erc.bioscientifica.com/view/journals/erc/25/5/ERC-17-0336.xml
Ovary,Chemotherapy,BCL2,BCL2,Overexpression,Non-response,"IHC, qPCR",Low,Apoptosis regulator,"Overexpression inhibits apoptosis, leading to chemoresistance","TCGA, GEO",https://erc.bioscientifica.com/view/journals/erc/25/5/ERC-17-0336.xml
Ovary,Chemotherapy,AKT2,AKT2,Amplification,Non-response,"qPCR, IHC",Low,Kinase,Amplification linked to poor prognosis and chemoresistance,"TCGA, COSMIC",https://erc.bioscientifica.com/view/journals/erc/25/5/ERC-17-0336.xml
Pan-Cancer,Alkaloid,Ki-67,MKI67,Amplification,Response,"IHC, RNA-seq",Low,Proliferation marker,High proliferation index predicts better response to cell cycle-targeting alkaloids,"TCGA, GEO",https://pubs.rsc.org/en/content/articlehtml/2025/ra/d4ra05089d
Pan-Cancer,Alkylating,LINGO1,LINGO1,Expression,Response,"RNA-seq, IHC",Low,Transmembrane protein,High expression identifies subpopulations with increased response to alkylating agents.,TCGA,https://pmc.ncbi.nlm.nih.gov/articles/PMC11384948/
Pan-Cancer,Alkylating,FOXP1,FOXP1,Downregulation,Response,"RNA-seq, IHC",Low,Transcription factor,"Suppressed by miR-181a, contributing to increased sensitivity.",TCGA,https://pmc.ncbi.nlm.nih.gov/articles/PMC9019174/
Pan-Cancer,Alkylating,BCL2L11,BCL2L11,Downregulation,Non-response,"RNA-seq, IHC",Low,Apoptosis regulator,"Targeted by miR-93, leading to reduced apoptosis and resistance.",TCGA,https://pmc.ncbi.nlm.nih.gov/articles/PMC9019174/
Pan-Cancer,Alkylating,p21,CDKN1A,Downregulation,Non-response,"RNA-seq, IHC",Low,Cell cycle regulator,"Targeted by miR-93, reducing cell cycle arrest and promoting resistance.",TCGA,https://pmc.ncbi.nlm.nih.gov/articles/PMC9019174/
Pan-Cancer,Alkylating,p27,CDKN1B,Downregulation,Non-response,"RNA-seq, IHC",Low,Cell cycle regulator,"Targeted by miR-221/222, reducing cell cycle arrest and promoting resistance.",TCGA,https://pmc.ncbi.nlm.nih.gov/articles/PMC9019174/
Pan-Cancer,Anti-AR,CHD1 Deletion,CHD1,Deletion,Response,"WES, FISH",Low,Chromatin remodeler,Loss sensitizes tumors to AR-targeted therapy,"TCGA, COSMIC",https://www.mdpi.com/2072-6694/13/22/5723
Pan-Cancer,Anti-CTLA-4,NK Cell Subsets,NCR1,N/A,Non-response,"CyTOF, Flow cytometry",Low,Immune cell marker,Dysfunctional NK cells linked to poor response,"GEO, TCGA","https://pmc.ncbi.nlm.nih.gov/articles/PMC5840795/, https://pubmed.ncbi.nlm.nih.gov/29510697/"
Pan-Cancer,Anti-EGFR,EGFR S492R,EGFR,Mutation,Non-response,"Somatic mutation (NGS, PCR)",Low,Receptor tyrosine kinase,"Alters antibody binding, confers resistance",COSMIC,https://pmc.ncbi.nlm.nih.gov/articles/PMC2758310/
Pan-Cancer,Anti-EGFR,TP53 mutation,TP53,Mutation,Non-response,"Somatic mutation (NGS, PCR)",Low,Transcription factor,"May affect apoptosis and cell cycle, linked to resistance","TCGA, COSMIC",https://www.binasss.sa.cr/set21/46.pdf
Pan-Cancer,Anti-EGFR,SMAD4 mutation,SMAD4,Mutation,Non-response,"Somatic mutation (NGS, PCR)",Low,Signal transducer,"Loss impairs TGF-β signaling, associated with resistance","TCGA, COSMIC",https://www.binasss.sa.cr/set21/46.pdf
Pan-Cancer,Anti-EGFR,FBXW7 mutation,FBXW7,Mutation,Non-response,"Somatic mutation (NGS, PCR)",Low,Ubiquitin ligase,"Alters degradation of oncoproteins, linked to resistance","TCGA, COSMIC",https://www.binasss.sa.cr/set21/46.pdf
Pan-Cancer,Anti-EGFR,miR-31 expression,MIR31,Overexpression,Non-response,"miRNA profiling (qPCR, NGS)",Low,microRNA,"Regulates gene expression, high levels linked to poor response",GEO,https://pmc.ncbi.nlm.nih.gov/articles/PMC4974592/
Pan-Cancer,Anti-PD-1,Germline miRNA Signature,Multiple,Germline Variation,Non-response (toxicity),miRNA sequencing,Low,N/A (Regulatory RNA),"Predicts immune-related adverse events, not directly linked to response","TCGA, GEO",https://jitc.bmj.com/content/10/2/e003625
Pan-Cancer,Aromatase inhibitor,"Immune Markers (e.g., PD-L1)",CD274,Overexpression,Non-response,"IHC, RNA-seq",Low,Immune checkpoint,High immune infiltration/PD-L1 linked to poor AI response in some subtypes,"TCGA, GEO",https://pmc.ncbi.nlm.nih.gov/articles/PMC10328947/
Pan-Cancer,Chemotherapy,BLM,BLM,Mutation,Response,"NGS, PCR",Low,DNA helicase,Mutations may increase sensitivity to DNA-damaging agents,"TCGA, COSMIC","https://pmc.ncbi.nlm.nih.gov/articles/PMC10073273/, https://www.binasss.sa.cr/set21/46.pdf"
Pan-Cancer,Hormonal therapy,GATA3,GATA3,Mutation,Response,"NGS, RNA-seq",Low,Transcription factor,"Maintains luminal phenotype, associated with better response","TCGA, GEO",https://pmc.ncbi.nlm.nih.gov/articles/PMC7922594/
Pan-Cancer,Hormonal therapy,MDM2 Amplification,MDM2,Amplification,Non-response,"FISH, NGS",Low,E3 ubiquitin ligase,"Inhibits p53, associated with resistance","TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC7922594/
Pan-Cancer,Multikinase inhibitor,NFE2L2 Expression,NFE2L2,Overexpression,Non-response,"RNA-seq, IHC",Low,Transcription factor,Regulates oxidative stress; associated with immune infiltration and resistance,"TCGA, GEO",https://pmc.ncbi.nlm.nih.gov/articles/PMC9169228/
Pan-Cancer,Multikinase inhibitor,PINK1 Downregulation,PINK1,Downregulation,Non-response,"RNA-seq, IHC",Low,Kinase (enzyme),Mitochondrial quality control; downregulation may reduce therapy sensitivity,"TCGA, GEO",https://pmc.ncbi.nlm.nih.gov/articles/PMC9169228/
Pan-Cancer,Platinum,XRCC1,XRCC1,"Mutation, SNP",Non-response,"SNP genotyping, NGS",Low,DNA repair enzyme,Base excision repair; certain variants linked to reduced platinum sensitivity,"TCGA, COSMIC",https://www.binasss.sa.cr/set21/46.pdf
Pan-Cancer,Platinum,BCL2,BCL2,"Amplification, Overexpression",Non-response,"IHC, RNA-seq, qPCR",Low,Anti-apoptotic protein,"Overexpression inhibits apoptosis, conferring resistance to platinum","TCGA, GEO",https://www.binasss.sa.cr/set21/46.pdf
Pan-Cancer,Platinum,ABCC2 (MRP2),ABCC2,"Amplification, Overexpression",Non-response,"IHC, RNA-seq, qPCR",Low,Drug transporter,"Effluxes platinum drugs, reducing intracellular concentration","TCGA, GEO",https://www.binasss.sa.cr/set21/46.pdf
Pan-Cancer,Pyrimidine (ant)agonist,Uridine Phosphorylase,UPP1,Overexpression,Response,"RNA-seq, IHC",Low,Enzyme,Converts 5-FU to active metabolites; higher expression linked to better response,TCGA,https://research.rug.nl/files/2914175/thesis.pdf
Pan-Cancer,Pyrimidine (ant)agonist,"CAD (Carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, dihydroorotase)",CAD,"Phosphorylation, Overexpression",Non-response,"RNA-seq, IHC, Phospho-proteomics",Low,Multifunctional enzyme,Controls pyrimidine synthesis; MAPK-mediated phosphorylation increases resistance,TCGA,https://pmc.ncbi.nlm.nih.gov/articles/PMC8194085/
Pan-Cancer,Pyrimidine (ant)agonist,Uridine Kinase,UCK1/2,Overexpression,Response,"RNA-seq, IHC",Low,Enzyme,"Phosphorylates uridine analogs, activating prodrugs",TCGA,https://research.rug.nl/files/2914175/thesis.pdf
Pan-Cancer,Pyrimidine (ant)agonist,Thymidine Kinase,TK1,Overexpression,Response,"RNA-seq, IHC",Low,Enzyme,"Phosphorylates thymidine analogs, activating prodrugs",TCGA,https://research.rug.nl/files/2914175/thesis.pdf
Pan-Cancer,Pyrimidine (ant)agonist,ZEB1,ZEB1,Overexpression,Non-response,"RNA-seq, IHC",Low,Transcription factor,"EMT driver; upregulated by TS, associated with resistance and metastasis",TCGA,https://pmc.ncbi.nlm.nih.gov/articles/PMC8194085/
Pancreas PAAD,Chemotherapy,Exosome DNA,Various,High exoDNA levels,Non-response,"Liquid biopsy, NGS",Low,N/A (DNA),High exoDNA predicts poor survival/response,"TCGA, GEO",https://www.frontiersin.org/journals/surgery/articles/10.3389/fsurg.2022.866173/full
Pancreas PAAD,Chemotherapy,CXCL12,CXCL12,Overexpression,Non-response,"RNA-seq, IHC",Low,Chemokine,High levels linked to immune exclusion and poor response,"TCGA, GEO",https://pmc.ncbi.nlm.nih.gov/articles/PMC10293428/
Pancreas PAAD,Folinic acid,SPARC,SPARC,Expression,Response,"IHC, RNA-seq",Low,Glycoprotein,High expression may predict response to albumin-bound drugs,"TCGA, GEO",https://pmc.ncbi.nlm.nih.gov/articles/PMC6478006/
Pancreas PAAD,Folinic acid,MMR Deficiency,"MLH1, etc.",Mutation/Loss,Response,"IHC, PCR",Low,DNA repair enzyme,"Deficiency may predict response to immunotherapy, less clear for FOLFIRINOX","TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC6478006/
Prostate,Anti-AR,CHD1 Loss,CHD1,Deletion,Response,"NGS, FISH",Low,Chromatin remodeler,Loss may sensitize to AR-targeted therapy,"TCGA, COSMIC",https://www.mdpi.com/2072-6694/13/22/5723
Prostate,Anti-AR,FOXA1 Mutation,FOXA1,Mutation,Non-response,"NGS, Sanger sequencing",Low,Transcription factor,"Alters AR cistrome, potentially driving resistance","TCGA, COSMIC",https://www.mdpi.com/2072-6694/13/22/5723
Prostate,Chemotherapy,L-selectin,SELL,Overexpression,Non-response,"ELISA, IHC",Low,Cell adhesion molecule,Linked to immune evasion and poor prognosis,"GEO, TCGA",https://journals.sagepub.com/doi/10.1177/15330338241290029
Prostate,Chemotherapy,Ceruloplasmin,CP,Overexpression,Non-response,"ELISA, IHC",Low,Enzyme,"Oxidative stress marker, associated with aggressive disease","GEO, TCGA",https://journals.sagepub.com/doi/10.1177/15330338241290029
Prostate,Chemotherapy,GOAT,MBOAT4,Overexpression,Non-response,"ELISA, IHC",Low,Enzyme,"Modifies ghrelin, promoting tumor growth and therapy resistance","GEO, TCGA",https://journals.sagepub.com/doi/10.1177/15330338241290029
Prostate,Hormonal therapy,CYP17A1 Expression,CYP17A1,Overexpression,Non-response,"IHC, qPCR",Low,Enzyme,High CYP17A1 may confer resistance to abiraterone.,"TCGA, GEO",https://pmc.ncbi.nlm.nih.gov/articles/PMC8616385/
Prostate,Hormonal therapy,AKR1C3 Expression,AKR1C3,Overexpression,Non-response,"IHC, qPCR",Low,Enzyme,AKR1C3 upregulation linked to resistance to androgen synthesis inhibitors.,"TCGA, GEO",https://pmc.ncbi.nlm.nih.gov/articles/PMC8616385/
Prostate,Taxane,CYP1B1,CYP1B1,Overexpression,Non-response,"RNA-seq, PCR",Low,Enzyme,"CYP1B1 metabolizes taxanes, reducing efficacy","TCGA, GEO",https://pmc.ncbi.nlm.nih.gov/articles/PMC7259995/
Prostate,Taxane,NEK2,NEK2,Overexpression,Non-response,"RNA-seq, PCR",Low,Kinase,NEK2 overexpression linked to mitotic defects and taxane resistance,"TCGA, GEO",https://pmc.ncbi.nlm.nih.gov/articles/PMC7259995/
Skin Melanoma,Anti-PD-1,CD11c+ Dendritic Cells,ITGAX,Expression,Response,"IHC, RNA-seq",Low,Immune cell marker,Increased density linked to better response,"TCGA, GEO",https://jitc.bmj.com/content/10/7/e004879
Skin Melanoma,Immunotherapy,HLA-A*26,HLA-A,Polymorphism,Response,Genotyping,Low,MHC class I molecule,Influences antigen presentation and immune recognition,"TCGA, GEO",https://pmc.ncbi.nlm.nih.gov/articles/PMC6058029/
Skin Melanoma,Immunotherapy,IL-17,IL17A,Expression,Non-response,"ELISA, RNA-seq",Low,Cytokine,"Promotes inflammation, may contribute to resistance","TCGA, GEO",https://www.mdpi.com/1422-0067/24/1/41
Breast ER+/HER-,Chemotherapy,"","","","","",,"","","",""
